Rank in 2020,School name,Country,Weighted salary (US$),Address,LatLong,Latitude,Longitude
88,AGSM at UNSW Business School,Australia,106393,"AGSM Building (G27), Gate 11, Botany St, UNSW Sydney Campus, Botany St, Kensington NSW 2052, Australia","-33.918252558550215, 151.23566925605326",-33.91825256,151.2356693
88,Essec Business School,France,109854,"3 Avenue Bernard Hirsch, 95000 Cergy, France","49.03825245245106, 2.0880467880545233",49.03825245,2.088046788
91,McGill University: Desautels,Canada,104581,"1001 Sherbrooke St W, Montreal, Quebec H3A 1G5, Canada","45.5023865006254, -73.57641727277007",45.5023865,-73.57641727
92,Wisconsin School of Business,US,130443,"975 University Ave, Madison, WI 53706, United States","43.07261454185482, -89.40145437467977",43.07261454,-89.40145437
93,Miami Herbert Business School,US,114000,"5250 University Dr, Coral Gables, FL 33146, United States","25.720249247116396, -80.27644240197299",25.72024925,-80.2764424
94,University of Toronto: Rotman,Canada,99360,"105 St George St, Toronto, ON M5S 3E6, Canada","43.66523839585378, -79.39864547281304",43.6652384,-79.39864547
95,University of Edinburgh Business School,UK,107332,"29 Buccleuch Pl, Edinburgh EH8 9JS, United Kingdom","55.942889155555264, -3.187204714822758",55.94288916,-3.187204715
96,University of California at San Diego: Rady,US,115080,"9500 Gilman Dr, La Jolla, CA 92093, United States","32.88659566193095, -117.24131178837412",32.88659566,-117.2413118
97,Macquarie Business School,Australia,120091,"99 Talavera Rd, Macquarie Park NSW 2113, Australia","-33.77129574371185, 151.11618662721366",-33.77129574,151.1161866
98,City University of Hong Kong,China,91611,"83 Tat Chee Ave, Kowloon Tong, Hong Kong","22.33670905675094, 114.17243412682322",22.33670906,114.1724341
99,University College Dublin: Smurfit,Ireland,107795,"Carysfort Ave, Carrysfort, Blackrock, Co. Dublin, Ireland","53.2957252049002, -6.184844318603528",53.2957252,-6.184844319
100,University of Georgia: Terry,US,109432,"600 S Lumpkin St, Athens, GA 30605, United States","33.952783078840795, -83.37781184417472",33.95278308,-83.37781184
